Region,Country,Division,sku_count,ufn_avg,basic_assets_avg,spec_summary_avg,faq_avg,title_avg,description_avg,h1_avg,canonical_avg,alt_feature_avg,alt_front_avg,total_score_pct
Asia,Australia,RAC,3,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
Asia,HongKong,RAC,12,10.0,10.0,0.0,10.0,8.333333,9.166667,10.0,10.0,8.333333,10.0,8.583333
Asia,Indonesia,RAC,3,10.0,10.0,6.666667,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.666667
Asia,Malaysia,RAC,24,10.0,10.0,10.0,10.0,0.833333,6.666667,10.0,10.0,5.0,9.583333,8.208333
Asia,NewZealand,RAC,1,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,7.0
Asia,Philippines,RAC,20,10.0,10.0,8.0,10.0,0.5,10.0,10.0,10.0,7.0,10.0,8.55
Asia,Taiwan,RAC,8,10.0,10.0,8.75,10.0,8.75,10.0,10.0,10.0,10.0,10.0,9.75
Asia,Thailand,RAC,25,10.0,9.36,10.0,8.4,8.4,10.0,10.0,10.0,10.0,8.4,9.456
Asia,Vietnam,RAC,22,10.0,10.0,7.727273,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.772727
CIS,Kazakhstan,RAC,16,10.0,10.0,3.125,5.0,1.25,6.875,10.0,10.0,0.0,10.0,6.625
CIS,Russia,RAC,26,10.0,10.0,7.307692,5.0,6.538462,8.846154,10.0,10.0,6.153846,10.0,8.384615
CIS,Uzbekistan,RAC,14,10.0,10.0,0.0,5.714286,4.285714,4.285714,10.0,8.571429,0.0,10.0,6.285714
EU,Austria,RAC,18,10.0,10.0,7.777778,7.777778,10.0,5.555556,10.0,10.0,2.222222,2.777778,7.611111
EU,Belgium,RAC,20,10.0,10.0,7.0,10.0,6.0,4.0,10.0,10.0,0.0,10.0,7.7
EU,Bulgaria,RAC,32,10.0,10.0,4.6875,10.0,10.0,10.0,10.0,10.0,0.0,10.0,8.46875
EU,Croatia,RAC,32,10.0,10.0,5.9375,10.0,10.0,10.0,10.0,10.0,0.9375,10.0,8.6875
EU,Czech,RAC,11,10.0,9.636364,10.0,9.090909,10.0,10.0,10.0,10.0,10.0,9.090909,9.781818
EU,France,RAC,2,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
EU,Germany,RAC,11,10.0,10.0,2.727273,4.545455,3.636364,8.181818,10.0,10.0,3.636364,9.090909,7.181818
EU,Greece,RAC,22,10.0,10.0,1.818182,5.454545,9.090909,9.545455,10.0,10.0,0.454545,10.0,7.636364
EU,Hungary,RAC,25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,9.0
EU,Italy,RAC,27,10.0,9.851852,7.037037,5.555556,5.185185,7.777778,10.0,10.0,4.814815,8.518519,7.874074
EU,Netherlands,RAC,21,10.0,10.0,10.0,10.0,4.761905,10.0,10.0,10.0,0.952381,10.0,8.571429
EU,Poland,RAC,13,10.0,10.0,6.153846,10.0,3.076923,10.0,10.0,10.0,2.307692,8.461538,8.0
EU,Portugal,RAC,13,10.0,10.0,5.384615,8.461538,3.846154,6.923077,7.692308,10.0,0.0,10.0,7.230769
EU,Romania,RAC,25,10.0,10.0,5.2,6.4,6.4,8.4,10.0,8.4,7.6,10.0,8.24
EU,Serbia,RAC,26,10.0,10.0,3.461538,10.0,10.0,10.0,10.0,10.0,3.461538,10.0,8.692308
EU,Sweden,RAC,4,10.0,10.0,2.5,10.0,10.0,2.5,10.0,10.0,0.0,2.5,6.75
India,India,RAC,99,10.0,10.0,9.69697,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.969697
LATAM,Argentina,RAC,1,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0
LATAM,Brazil,RAC,34,10.0,10.0,8.823529,9.705882,8.529412,9.411765,10.0,10.0,3.235294,8.823529,8.852941
LATAM,Chile,RAC,7,10.0,10.0,2.857143,0.0,10.0,5.714286,8.571429,10.0,7.142857,8.571429,7.285714
LATAM,Colombia,RAC,16,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
LATAM,Ecuador,RAC,16,10.0,10.0,0.0,8.125,5.0,8.125,10.0,6.875,10.0,10.0,7.8125
LATAM,Guatemala,RAC,16,10.0,10.0,1.875,8.75,3.125,8.125,10.0,10.0,8.125,10.0,8.0
LATAM,Mexico,RAC,32,10.0,10.0,10.0,10.0,9.6875,10.0,10.0,10.0,9.375,8.125,9.71875
LATAM,Panama,RAC,6,10.0,9.333333,1.666667,10.0,5.0,10.0,10.0,10.0,10.0,10.0,8.6
LATAM,Peru,RAC,5,8.0,10.0,10.0,2.0,6.0,6.0,10.0,10.0,10.0,8.0,8.0
MEA,Algeria,RAC,3,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
MEA,Egypt,RAC,16,10.0,8.0,5.0,10.0,2.5,8.75,10.0,10.0,10.0,10.0,8.425
MEA,Israel,RAC,4,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,9.0
MEA,Jordan,RAC,28,10.0,10.0,8.928571,10.0,10.0,9.285714,10.0,9.642857,10.0,10.0,9.785714
MEA,Kenya,RAC,6,10.0,10.0,3.333333,6.666667,10.0,10.0,10.0,10.0,8.333333,10.0,8.833333
MEA,Morocco,RAC,12,10.0,10.0,0.0,3.333333,10.0,4.166667,10.0,10.0,9.166667,10.0,7.666667
MEA,Nigeria,RAC,7,10.0,10.0,0.0,10.0,8.571429,10.0,10.0,10.0,5.714286,10.0,8.428571
MEA,SaudiArabia,RAC,37,10.0,10.0,10.0,10.0,9.72973,10.0,10.0,10.0,10.0,10.0,9.972973
MEA,SouthAfrica,RAC,11,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,7.0
MEA,Turkey,RAC,2,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,9.5
MEA,UAE,RAC,28,10.0,10.0,0.0,3.928571,10.0,10.0,10.0,10.0,7.857143,10.0,8.178571
