Region,Country,Division,sku_count,ufn_avg,basic_assets_avg,spec_summary_avg,faq_avg,title_avg,description_avg,h1_avg,canonical_avg,alt_feature_avg,alt_front_avg,total_score_pct
Asia,Australia,RAC,3,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,7.0
Asia,HongKong,RAC,12,10.0,10.0,0.0,10.0,8.333333,9.166667,10.0,10.0,8.333333,8.333333,8.416667
Asia,Indonesia,RAC,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Asia,Malaysia,RAC,26,10.0,10.0,1.538462,5.384615,0.769231,6.153846,10.0,10.0,0.0,0.384615,5.423077
Asia,NewZealand,RAC,1,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,7.0
Asia,Philippines,RAC,20,10.0,10.0,10.0,10.0,0.5,10.0,10.0,10.0,7.0,9.5,8.7
Asia,Taiwan,RAC,8,10.0,10.0,8.75,10.0,8.75,10.0,10.0,10.0,10.0,8.75,9.625
Asia,Thailand,RAC,21,10.0,8.666667,8.095238,10.0,10.0,10.0,10.0,10.0,8.571429,10.0,9.533333
Asia,Vietnam,RAC,22,10.0,10.0,4.090909,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.409091
CIS,Kazakhstan,RAC,16,10.0,10.0,3.125,5.0,1.25,6.875,10.0,10.0,0.0,2.5,5.875
CIS,Russia,RAC,26,10.0,10.0,7.307692,5.0,6.538462,8.846154,10.0,10.0,6.153846,10.0,8.384615
CIS,Uzbekistan,RAC,14,10.0,10.0,0.0,5.714286,4.285714,4.285714,10.0,8.571429,0.0,10.0,6.285714
EU,Austria,RAC,10,10.0,10.0,8.0,2.0,0.0,0.0,10.0,10.0,2.0,1.0,5.3
EU,Belgium,RAC,20,10.0,10.0,7.0,10.0,6.0,4.0,10.0,10.0,0.0,10.0,7.7
EU,Bulgaria,RAC,32,9.375,10.0,4.6875,8.125,9.375,10.0,10.0,9.375,0.0,10.0,8.09375
EU,Croatia,RAC,32,10.0,9.625,4.0625,8.125,10.0,10.0,10.0,10.0,0.9375,10.0,8.275
EU,Czech,RAC,11,7.272727,10.0,3.636364,10.0,10.0,10.0,7.272727,10.0,4.545455,0.909091,7.363636
EU,France,RAC,2,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
EU,Germany,RAC,10,10.0,10.0,3.0,4.0,3.0,8.0,10.0,10.0,3.0,0.0,6.1
EU,Greece,RAC,22,10.0,10.0,1.818182,5.454545,9.090909,9.545455,10.0,10.0,0.454545,10.0,7.636364
EU,Hungary,RAC,25,10.0,6.0,6.0,10.0,7.2,7.2,10.0,10.0,0.0,7.2,7.36
EU,Italy,RAC,26,10.0,9.384615,6.923077,5.384615,4.615385,7.692308,9.230769,10.0,4.615385,5.769231,7.361538
EU,Netherlands,RAC,21,10.0,10.0,10.0,10.0,4.761905,10.0,10.0,10.0,0.952381,7.619048,8.333333
EU,Poland,RAC,13,10.0,10.0,6.153846,10.0,3.076923,10.0,10.0,10.0,2.307692,4.615385,7.615385
EU,Portugal,RAC,13,10.0,10.0,5.384615,8.461538,3.846154,6.923077,7.692308,10.0,0.0,3.846154,6.615385
EU,Romania,RAC,25,10.0,10.0,5.2,6.4,6.4,8.4,10.0,8.4,7.6,10.0,8.24
EU,Serbia,RAC,26,10.0,10.0,3.461538,9.230769,10.0,10.0,10.0,10.0,3.461538,10.0,8.615385
India,India,RAC,97,10.0,9.917526,9.793814,10.0,10.0,10.0,10.0,10.0,9.896907,10.0,9.960825
LATAM,Argentina,RAC,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
LATAM,Brazil,RAC,30,10.0,9.066667,8.0,10.0,9.666667,10.0,10.0,10.0,3.666667,7.666667,8.806667
LATAM,Chile,RAC,6,10.0,10.0,0.0,0.0,0.0,5.0,8.333333,10.0,8.333333,0.0,5.166667
LATAM,Colombia,RAC,16,10.0,10.0,8.75,10.0,4.375,9.375,10.0,10.0,5.0,0.0,7.75
LATAM,Ecuador,RAC,9,10.0,9.555556,0.0,7.777778,7.777778,8.888889,10.0,5.555556,10.0,10.0,7.955556
LATAM,Guatemala,RAC,11,10.0,9.636364,1.818182,9.090909,3.636364,8.181818,10.0,10.0,8.181818,10.0,8.054545
